2025-06-17 15:17:54,365 p=264510 u=bill n=ansible ERROR| ERROR! the playbook: playbook.yml could not be found
2025-06-17 15:18:19,384 p=264559 u=bill n=ansible INFO| PLAY [all] ****************************************************************************************************
2025-06-17 15:18:19,389 p=264559 u=bill n=ansible INFO| TASK [Gathering Facts] ****************************************************************************************
2025-06-17 15:18:20,452 p=264559 u=bill n=ansible INFO| ok: [wg]
2025-06-17 15:18:20,461 p=264559 u=bill n=ansible INFO| ok: [photoprism]
2025-06-17 15:18:20,647 p=264559 u=bill n=ansible INFO| fatal: [trilium]: UNREACHABLE! => {"changed": false, "msg": "Data could not be sent to remote host \"192.168.86.78\". Make sure this host can be reached over ssh: @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@\r\n@    WARNING: REMOTE HOST IDENTIFICATION HAS CHANGED!     @\r\n@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@\r\nIT IS POSSIBLE THAT SOMEONE IS DOING SOMETHING NASTY!\r\nSomeone could be eavesdropping on you right now (man-in-the-middle attack)!\r\nIt is also possible that a host key has just been changed.\r\nThe fingerprint for the ED25519 key sent by the remote host is\nSHA256:YoMwYrwIE3r5/oL99G5gQd7YFZ89ABBbOoRjKIGG4uU.\r\nPlease contact your system administrator.\r\nAdd correct host key in /home/bill/.ssh/known_hosts to get rid of this message.\r\nOffending ED25519 key in /home/bill/.ssh/known_hosts:36\r\n  remove with:\r\n  ssh-keygen -f '/home/bill/.ssh/known_hosts' -R '192.168.86.78'\r\nAgent forwarding is disabled to avoid man-in-the-middle attacks.\r\nUpdateHostkeys is disabled because the host key is not trusted.\r\nUse of this system is private. If you are not authorized, disconnect immediately.\nFailure to comply will result in your destruction.hal@192.168.86.78: Permission denied (publickey).\r\n", "unreachable": true}
2025-06-17 15:18:20,846 p=264559 u=bill n=ansible INFO| ok: [samsung]
2025-06-17 15:18:20,866 p=264559 u=bill n=ansible INFO| ok: [desktop]
2025-06-17 15:18:21,384 p=264559 u=bill n=ansible INFO| ok: [bazarr]
2025-06-17 15:18:21,607 p=264559 u=bill n=ansible INFO| ok: [sonarr]
2025-06-17 15:18:21,806 p=264559 u=bill n=ansible INFO| ok: [paperless]
2025-06-17 15:18:22,170 p=264559 u=bill n=ansible INFO| ok: [localhost]
